state,county_name,totalvotes,dem_percent,rep_percent,other_percent
Nebraska,Seward,27426.0,0.2666812513673157,0.7099103040910085,0.02340844454167578
Nebraska,Sheridan,8016.0,0.12724550898203593,0.8577844311377245,0.014970059880239521
Nebraska,Sherman,5094.0,0.20200235571260305,0.7785630153121319,0.019434628975265017
Nebraska,Sioux,2187.0,0.09876543209876543,0.8806584362139918,0.0205761316872428
Nebraska,Stanton,9483.0,0.1683011705156596,0.8101866497943688,0.021512179689971527
Nebraska,Thayer,8940.0,0.20939597315436242,0.774496644295302,0.016107382550335572
Nebraska,Thomas,1281.0,0.1053864168618267,0.882903981264637,0.0117096018735363
Nebraska,Thurston,6975.0,0.48258064516129034,0.5075268817204301,0.00989247311827957
Nebraska,Valley,7020.0,0.17606837606837608,0.8123931623931624,0.011538461538461539
Nebraska,Washington,37239.0,0.2863127366470636,0.6914525094658825,0.022234753887053895
Nebraska,Wayne,12600.0,0.24333333333333335,0.7273809523809524,0.029285714285714286
Nebraska,Webster,5628.0,0.17857142857142858,0.8054371002132196,0.015991471215351813
Nebraska,Wheeler,1506.0,0.11752988047808766,0.8725099601593626,0.0099601593625498
Nebraska,York,21429.0,0.22819543609127818,0.747165056698866,0.024639507209855804
Nevada,Carson City,118956.0,0.4282255623928175,0.5418137798849995,0.029960657722182992
Nevada,Churchill,51524.0,0.23662759102554148,0.7271950935486375,0.03617731542582098
Nevada,Clark,3889232.0,0.5366375675197571,0.4430787363674885,0.020283696112754393
Nevada,Douglas,136468.0,0.3391271213764399,0.6337896063546032,0.027083272268956824
Nevada,Elko,87828.0,0.20745092681149518,0.7621259734936466,0.03042309969485813
Nevada,Esmeralda,1920.0,0.15,0.8229166666666666,0.027083333333333334
Nevada,Eureka,4032.0,0.10317460317460317,0.8799603174603174,0.016865079365079364
Nevada,Humboldt,31084.0,0.21734654484622315,0.7562733238965385,0.02638013125723845
Nevada,Lander,11060.0,0.17938517179023508,0.7949367088607595,0.025678119349005425
Nevada,Lincoln,9784.0,0.1349141455437449,0.8450531479967294,0.020032706459525755
Nevada,Lyon,120916.0,0.28026067683350425,0.691587548380694,0.028151774785801713
Nevada,Mineral,9308.0,0.3541039965620971,0.6102277610657499,0.035668242372152985
Nevada,Nye,101504.0,0.2871610970996217,0.6906919924337958,0.022146910466582598
Nevada,Pershing,9280.0,0.23577586206896553,0.7461206896551724,0.01810344827586207
Nevada,Storey,11472.0,0.3138075313807531,0.6628312412831241,0.023361227336122732
Nevada,Washoe,1007824.0,0.5082315959929512,0.4629895696073918,0.02877883439965708
Nevada,White Pine,17452.0,0.19619527847811138,0.7792803117121246,0.024524409809763927
New Hampshire,Belknap,115173.0,0.44005105363236174,0.5443723789429814,0.015576567424656821
New Hampshire,Carroll,99663.0,0.501158905511574,0.4861382860239005,0.01270280846452545
New Hampshire,Cheshire,132660.0,0.5771596562641339,0.40474898236092266,0.018091361374943465
New Hampshire,Coos,49545.0,0.46260974871329097,0.521768089615501,0.015622161671207993
New Hampshire,Grafton,161898.0,0.6148315606122373,0.368843345810325,0.016325093577437645
New Hampshire,Hillsborough,692823.0,0.5297630130639427,0.4530377888724826,0.01719919806357468
New Hampshire,Merrimack,269415.0,0.5404264795946774,0.44219141473191914,0.017382105673403484
New Hampshire,Rockingham,596394.0,0.5033451040754937,0.48218794957695754,0.014466946347548769
New Hampshire,Strafford,220788.0,0.5668922224033915,0.41427523234958424,0.018832545247024296
New Hampshire,Sullivan,73140.0,0.5082034454470877,0.47202625102543067,0.01977030352748154
New Jersey,Atlantic,700155.0,0.5270832887003593,0.4601695338889246,0.012747177410716199
New Jersey,Bergen,2479245.0,0.5767219455923074,0.41225655391056554,0.011021500497127149
New Jersey,Burlington,1307485.0,0.5911922507715194,0.39520529872235627,0.013602450506124353
New Jersey,Camden,1323080.0,0.6615813102760226,0.3257815098104423,0.012637179913535085
New Jersey,Cape May,288570.0,0.41482136050178464,0.5745226461517137,0.010655993346501715
New Jersey,Cumberland,312040.0,0.5246442763748237,0.4639148827073452,0.011440840917831048
New Jersey,Essex,1726555.0,0.7726947592170537,0.2185710851956642,0.008734155587282189
New Jersey,Gloucester,863270.0,0.5021719740058151,0.4826995030523475,0.015128522941837433
New Jersey,Hudson,1249250.0,0.7262437462477487,0.26294976986191715,0.010806483890334201
New Jersey,Hunterdon,421210.0,0.4683768191638375,0.5122504214049999,0.019372759431162602
New Jersey,Mercer,883020.0,0.6938234694570904,0.29241127041290116,0.01376526013000838
New Jersey,Middlesex,1871810.0,0.6043615537901817,0.3832306697795182,0.012407776430300083
New Jersey,Monmouth,1890755.0,0.47941430804096774,0.5072259494223207,0.013359742536711525
New Jersey,Morris,1496610.0,0.5140985293429818,0.4715122844294773,0.014389186227540908
New Jersey,Ocean,1707580.0,0.3497815622108481,0.6375689572377282,0.012649480551423653
New Jersey,Passaic,1118535.0,0.5770807350686389,0.4112924494986746,0.011626815432686505
New Jersey,Salem,169610.0,0.42683214433111255,0.555008549024232,0.018159306644655385
New Jersey,Somerset,929295.0,0.5981577432354634,0.3873689194496904,0.0144733373148462
New Jersey,Sussex,439800.0,0.39200773078672124,0.5877444292860391,0.020247839927239653
New Jersey,Union,1264955.0,0.672929076528414,0.3162246878347451,0.010846235636840836
New Jersey,Warren,303935.0,0.40964350930297594,0.5719808511688355,0.018375639528188593
New Mexico,Bernalillo,1587950.0,0.6100853301426368,0.3656758714065304,0.024238798450832832
New Mexico,Catron,11630.0,0.25580395528804817,0.7300085984522786,0.01418744625967326
New Mexico,Chaves,112215.0,0.2843202780376955,0.6975894488259146,0.018090273136389966
New Mexico,Cibola,44515.0,0.5329664158148939,0.4464787150398742,0.020554869145231944
New Mexico,Colfax,30080.0,0.4340093085106383,0.543716755319149,0.022273936170212765
New Mexico,Curry,75505.0,0.2852128998079597,0.691609827163764,0.023177273028276272
New Mexico,De Baca,4505.0,0.2563817980022198,0.7280799112097669,0.01553829078801332
New Mexico,Dona Ana,413205.0,0.5803051753972,0.3969216248593313,0.02277319974346874
New Mexico,Eddy,116110.0,0.23357161312548447,0.7516148479889759,0.014813538885539573
New Mexico,Grant,72175.0,0.5258053342570143,0.45396605472809143,0.020228611014894354
